theta,correlation rate
1.40044,-0.0254806
1.40672,-0.0274528
1.413,-0.0309071
1.41928,-0.0302772
1.42556,-0.0288632
1.43184,-0.0296753
1.43812,-0.0251786
1.4444,-0.0150543
1.45068,-0.012393
1.45696,-0.0150184
1.46324,-0.0172171
1.46952,-0.0199251
1.4758,-0.0249601
1.48208,-0.0290946
1.48836,-0.0246524
1.49464,-0.0295711
1.50092,-0.0316235
1.5072,-0.0347372
1.51348,-0.0368974
1.51976,-0.0402501
1.52604,-0.0427897
1.53232,-0.0365667
1.5386,-0.0382118
1.54488,-0.037596
1.55116,-0.0292874
1.55744,-0.0353065
1.56372,-0.0445308
1.57,-0.0471975
1.57628,-0.0467118
1.58256,-0.0457223
1.58884,-0.0399595
1.59512,-0.0352043
1.6014,-0.0309079
1.60768,-0.0277332
1.61396,-0.0278372
1.62024,-0.0270705
1.62652,-0.0302619
1.6328,-0.0339263
1.63908,-0.0380157
1.64536,-0.0394611
1.65164,-0.0404364
1.65792,-0.0444419
1.6642,-0.0432648
1.67048,-0.0387044
1.67676,-0.0276866
1.68304,-0.0272028
1.68932,-0.0257197
1.6956,-0.0200132
1.70188,-0.0220904
1.70816,-0.0235203
1.71444,-0.0230296
1.72072,-0.0160449
1.727,-0.0145262
1.73328,-0.0186192
1.73956,-0.0187688
1.74584,-0.0188459
1.75212,-0.0200365
1.7584,-0.0160243
1.76468,-0.00777229
1.77096,-0.00753905
1.77724,-0.00889239
1.78352,-0.0206838
1.7898,-0.0205134
1.79608,-0.0167743
1.80236,-0.0207726
1.80864,-0.025158
1.81492,-0.0289358
1.8212,-0.0298564
1.82748,-0.0319204
1.83376,-0.0245994
1.84004,-0.0256247
1.84632,-0.0291293
1.8526,-0.03139
1.85888,-0.0326812
1.86516,-0.031938
1.87144,-0.0299028
1.87772,-0.0263655
1.884,-0.0286406
1.89028,-0.0275654
1.89656,-0.029419
1.90284,-0.0397012
1.90912,-0.0416247
1.9154,-0.0422869
1.92168,-0.045977
1.92796,-0.0493628
1.93424,-0.0522196
1.94052,-0.0529935
1.9468,-0.05378
1.95308,-0.05625
1.95936,-0.0614298
1.96564,-0.0639037
1.97192,-0.0644849
1.9782,-0.0661222
1.98448,-0.0659396
1.99076,-0.0692111
1.99704,-0.0721774
2.00332,-0.0703884
2.0096,-0.0705009
2.01588,-0.0709064
2.02216,-0.0718428
2.02844,-0.0736423
2.03472,-0.0817916
2.041,-0.08316
2.04728,-0.0871713
2.05356,-0.0890363
2.05984,-0.0882643
2.06612,-0.0863599
2.0724,-0.0850417
2.07868,-0.0838015
2.08496,-0.0837011
2.09124,-0.0857292
2.09752,-0.0868491
2.1038,-0.0896069
2.11008,-0.0916794
2.11636,-0.0937867
2.12264,-0.101394
2.12892,-0.10246
2.1352,-0.102
2.14148,-0.0989293
2.14776,-0.0995682
2.15404,-0.100581
2.16032,-0.0998542
2.1666,-0.0948059
2.17288,-0.100395
2.17916,-0.109859
2.18544,-0.113057
2.19172,-0.112395
2.198,-0.117197
2.20428,-0.122825
2.21056,-0.128303
2.21684,-0.132959
2.22312,-0.141626
2.2294,-0.142624
2.23568,-0.144017
2.24196,-0.144008
2.24824,-0.145865
2.25452,-0.146586
2.2608,-0.150206
2.26708,-0.148966
2.27336,-0.149503
2.27964,-0.148829
2.28592,-0.147935
2.2922,-0.152148
2.29848,-0.163053
2.30476,-0.163588
2.31104,-0.164591
2.31732,-0.165305
2.3236,-0.165135
2.32988,-0.174198
2.33616,-0.172622
2.34244,-0.172094
2.34872,-0.172799
2.355,-0.173885
2.36128,-0.174816
2.36756,-0.17671
2.37384,-0.178618
2.38012,-0.180072
2.3864,-0.182644
2.39268,-0.183037
2.39896,-0.183439
2.40524,-0.180091
2.41152,-0.189772
2.4178,-0.190195
2.42408,-0.191166
2.43036,-0.190641
2.43664,-0.189907
2.44292,-0.188702
2.4492,-0.188982
2.45548,-0.187792
2.46176,-0.185054
2.46804,-0.184602
2.47432,-0.182005
2.4806,-0.188483
2.48688,-0.189625
