p_x,loss
30.6,0.184423
30.7,0.185605
30.8,0.187254
30.9,0.189369
31,0.193123
31.1,0.191472
31.2,0.190291
31.3,0.18958
31.4,0.189339
31.5,0.189567
31.6,0.190266
31.7,0.191434
31.8,0.193072
31.9,0.19518
32,0.198863
32.1,0.197143
32.2,0.195897
32.3,0.195123
32.4,0.194823
32.5,0.194997
32.6,0.195643
32.7,0.196763
32.8,0.198357
32.9,0.200424
33,0.204099
33.1,0.202261
33.2,0.200899
33.3,0.200015
33.4,0.199607
33.5,0.199676
33.6,0.200222
33.7,0.201245
33.8,0.202745
33.9,0.204722
34,0.208202
34.1,0.206235
34.2,0.204748
34.3,0.203742
34.4,0.203217
34.5,0.203171
34.6,0.203607
34.7,0.204523
34.8,0.205919
34.9,0.207796
35,0.210971
35.1,0.209024
35.2,0.207561
35.3,0.206582
35.4,0.206087
35.5,0.206076
35.6,0.20655
35.7,0.207508
35.8,0.20895
35.9,0.210876
36,0.213942
36.1,0.212095
36.2,0.210735
36.3,0.209863
36.4,0.209478
36.5,0.209582
36.6,0.210174
36.7,0.211254
36.8,0.212821
36.9,0.214876
37,0.21794
37.1,0.216185
37.2,0.214922
37.3,0.214151
37.4,0.213871
37.5,0.214083
37.6,0.214786
37.7,0.215981
37.8,0.217668
37.9,0.219847
38,0.222959
38.1,0.221255
38.2,0.220047
38.3,0.219334
38.4,0.219117
38.5,0.219396
38.6,0.22017
38.7,0.221439
38.8,0.223204
38.9,0.225465
39,0.228541
39.1,0.226837
39.2,0.225632
39.3,0.224927
39.4,0.224721
39.5,0.225014
39.6,0.225807
39.7,0.227099
39.8,0.22889
39.9,0.231181
40,0.234274
40.1,0.232526
40.2,0.231281
40.3,0.230539
40.4,0.230301
40.5,0.230566
40.6,0.231334
40.7,0.232606
40.8,0.234381
40.9,0.23666
41,0.239585
41.1,0.23773
41.2,0.236382
41.3,0.235541
41.4,0.235207
41.5,0.235381
41.6,0.236062
41.7,0.23725
41.8,0.238946
41.9,0.241148
42,0.243881
42.1,0.241898
42.2,0.240424
42.3,0.239459
42.4,0.239002
42.5,0.239055
42.6,0.239617
42.7,0.240688
42.8,0.242268
42.9,0.244357
43,0.247094
43.1,0.245049
43.2,0.243516
43.3,0.242494
43.4,0.241983
43.5,0.241983
43.6,0.242494
43.7,0.243517
43.8,0.245051
43.9,0.247096
44,0.249926
44.1,0.247892
44.2,0.246372
44.3,0.245367
44.4,0.244875
44.5,0.244896
44.6,0.245432
44.7,0.246482
44.8,0.248046
44.9,0.250124
45,0.252937
45.1,0.250891
45.2,0.249361
45.3,0.248346
45.4,0.247846
45.5,0.247862
45.6,0.248393
45.7,0.249439
45.8,0.251001
45.9,0.253079
46,0.255911
46.1,0.25384
46.2,0.252284
46.3,0.251243
46.4,0.250717
46.5,0.250707
46.6,0.251211
46.7,0.252231
46.8,0.253766
46.9,0.255816
47,0.258266
47.1,0.256223
47.2,0.254696
47.3,0.253685
47.4,0.253189
47.5,0.253209
47.6,0.253744
47.7,0.254795
47.8,0.256361
47.9,0.258443
48,0.260753
48.1,0.258714
48.2,0.257191
48.3,0.256186
48.4,0.255698
48.5,0.255727
48.6,0.256273
48.7,0.257336
48.8,0.258916
48.9,0.261013
49,0.263445
49.1,0.261406
49.2,0.259883
49.3,0.258875
49.4,0.258383
49.5,0.258407
49.6,0.258946
49.7,0.260001
49.8,0.261572
49.9,0.263659
